Season,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mx,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,12,397.5,,,,,,,,,,,,,,,-0.97,,,,,,,,,,,,,,,0.23,0.18,-0.15
2023,9,543.5,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,0.75,1.42,0.63
2023,38,505.5,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,-0.77,-0.38,-0.61
2023,37,460,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,-0.06,0.51,-0.19
2023,35,425,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,0.43,2.01,0.38
2023,19,407.5,,,,,,,,,,,,,,,-0.86,,,,,,,,,,,,,,,0,0.42,-0.37
2023,16,515.5,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,0.39,0.06,-0.27
2023,18,525.5,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,0,0.68,0.44
2023,5,514,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,1.16,2.09,0.15
2023,40,293,,,,,,,,,,,,,,,-2.19,,,,,,,,,,,,,,,-0.5,-0.53,-1.23
2023,31,576,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,-0.14,0.81,-0.1
