ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
11,458.5,,,,,,,,,,,,,,,
37,386.5,,,,,,,,,,,,,,,
19,318.5,,,,,,,,,,,,,,,
7,524.5,,,,,,,,,,,,,,,
1,383,,,,,,,,,,,,,,,
16,508.5,,,,,,,,,,,,,,,
12,412.5,,,,,,,,,,,,,,,
32,406,,,,,,,,,,,,,,,
30,457,,,,,,,,,,,,,,,
20,554,,,,,,,,,,,,,,,
4,456.5,,,,,,,,,,,,,,,
43,566.5,,,,,,,,,,,,,,,
3,497,,,,,,,,,,,,,,,
39,495,,,,,,,,,,,,,,,
9,549,,,,,,,,,,,,,,,
33,421.5,,,,,,,,,,,,,,,
19,321,,,,,,,,,,,,,,,
34,680.5,,,,,,,,,,,,,,,
12,461.5,,,,,,,,,,,,,,,
6,610.5,,,,,,,,,,,,,,,
13,421.5,,,,,,,,,,,,,,,
29,406,,,,,,,,,,,,,,,
40,304.5,,,,,,,,,,,,,,,
2,548.5,,,,,,,,,,,,,,,
23,631.5,,,,,,,,,,,,,,,
28,351.5,,,,,,,,,,,,,,,
18,526,,,,,,,,,,,,,,,
17,537,,,,,,,,,,,,,,,
35,470.5,,,,,,,,,,,,,,,
8,556,,,,,,,,,,,,,,,
21,587.5,,,,,,,,,,,,,,,
32,425,,,,,,,,,,,,,,,
5,458,,,,,,,,,,,,,,,
10,488,,,,,,,,,,,,,,,
16,519.5,,,,,,,,,,,,,,,
11,455,,,,,,,,,,,,,,,
42,567,,,,,,,,,,,,,,,
38,546.5,,,,,,,,,,,,,,,
31,527.5,,,,,,,,,,,,,,,
37,398.5,,,,,,,,,,,,,,,
41,440,,,,,,,,,,,,,,,
7,629.5,,,,,,,,,,,,,,,
1,393.5,,,,,,,,,,,,,,,
27,390.5,,,,,,,,,,,,,,,
24,589,,,,,,,,,,,,,,,
14,521.5,,,,,,,,,,,,,,,
25,251,,,,,,,,,,,,,,,
43,584,,,,,,,,,,,,,,,
20,566,,,,,,,,,,,,,,,
39,476,,,,,,,4.27,25.38,1.005,0.519,,79.8,19.8,8.31,10.35
3,,,,,,,,6.59,21.33,1.307,0.591,0.788,78.7,21.4,8.81,
30,445.5,,,,,,,,,,,,,,,
4,528,,,,,,,3.3,24.67,1.205,0.578,0.685,77.2,18.05,8.12,8.85
6,610.5,,,,,,,2.46,27.26,0.814,0.415,0.362,84.1,24.18,10.35,12.63
7,525.5,,,,,,,5.19,23.44,1.22,0.358,0.452,77.6,20.44,7.3,10.27
22,490.5,,,,,,,2.5,26.89,0.888,0.284,0.262,70.3,23.91,9.81,11.54
9,527.5,,,,,,,3.56,27.76,0.718,0.283,0.41,74.2,20.3,9.99,10.36
2,,,,,,,,4.88,23.55,1.051,0.507,0.527,76.3,21.26,7.99,10.64
16,492,,,,,,,2.24,28.01,1.179,0.418,0.638,78.7,20.51,8.38,10.16
38,518.5,,,,,,,3.58,26.86,1.188,0.68,0.483,78.4,21.07,10.34,8.79
13,407.5,,,,,,,3.84,23.99,1.091,0.28,0.599,79.8,19.33,8.46,9.38
25,273.5,,,,,,,3.75,25,0.811,0.225,0.545,73.7,22.77,8.13,11.32
8,522.5,,,,,,,3.65,26.22,1.048,0.825,0.642,74.5,28.42,14.16,11.36
14,525.5,,,,,,,3.27,27.04,0.791,0.195,0.054,80.7,18.43,8.55,9.56
32,454.5,,,,,,,3.88,25.89,0.802,0.319,0.184,76.1,17.93,7.8,7.29
10,480,,,,,,,,,,,,,,,
5,448.5,,,,,,,4.34,24.67,1.052,0.455,0.611,75.3,24.25,7.54,10.23
29,404,,,,,,,1.95,26.16,0.914,0.302,0.526,79.8,21.93,6.88,9.12
40,308,,,,,,,2.55,26.02,1.151,0.676,0.617,85.9,21.5,10.3,11.21
35,496.5,,,,,,,3.23,26.57,0.903,0.421,0.472,79.2,24.1,,10.05
23,602,,,,,,,2.94,25.07,0.646,0.192,0.658,80.1,16.2,6.49,10.43
21,566.5,,,,,,,2.51,26.83,1.333,0.696,0.605,61.7,27.93,11.18,16.58
12,425,,,,,,,4.1,25.99,0.974,0.079,0.005,79,20.34,8.9,8.18
19,382,,,,,,,4.48,25.69,1.018,0.536,0.569,70.3,17.75,8.62,11.97
18,534.5,,,,,,,,,,,,,,,
