ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
4,578.5,2.84,38.45,0.91,2149.3,0.44,0.636,4.94,20.79,0.684,0.21,0.147,77.7,13.05,6.69,6.62
4,,3.04,,1.02,2224,0.4,0.59,2.18,28.78,0.88,0.325,0.399,,,,
5,508.5,,,,,,,,,,,,,,,
5,500.5,2.87,38.33,1.09,2643.7,0.342,0.472,4,27.46,0.837,,0.307,74.7,24.22,7.54,9.8
5,502.5,,,,,,,,,,,,,,,
5,479.5,2.83,37.42,0.88,2305.4,0.418,0.584,3.85,27.8,0.999,0.173,0.317,76.3,24.43,7.6,10.35
5,485.5,,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,,
5,503,2.83,38.18,0.83,2255.2,0.452,0.624,3.58,28.76,0.933,0.132,0.269,76.8,22.52,8.09,9.31
5,484,,,,,,,,,,,,,,,
5,516,,,,,,,,,,,,,,,
5,518,2.85,38.38,0.86,2329.7,0.462,0.602,,,,,,,,,
5,458,,,,,,,,,,,,,,,
5,448.5,2.91,39.84,0.96,2187.2,0.382,0.532,4.34,24.67,0.992,0.385,0.531,75.3,24.25,7.54,10.23
5,523.5,,,,,,,,,,,,,,,
5,505.5,2.84,38.54,0.81,2212.8,0.448,0.608,4.47,26.32,0.968,0.013,0.35,,25.36,7.19,9.81
5,518,,,,,,,,,,,,,,,
5,,,,,,,,4.53,23.34,1.155,0.151,0.339,72.1,25.64,,10.03
5,518.5,2.82,37.73,0.8,2266.7,0.452,0.63,4.02,26.97,0.972,0.166,0.319,74.2,25.32,7.73,9.58
5,539,,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,,
5,542,2.77,35.74,1.02,2424.6,0.354,0.482,2.77,26.57,0.857,0.3,0.428,73.7,23.87,6.91,8.97
5,534,,,,,,,,,,,,,,,
5,524,2.78,36.02,0.94,2410.3,0.382,0.53,4.17,24.96,0.968,0.025,0.413,72.1,24.07,7.36,10.16
5,517.5,,,,,,,4.94,25.37,1.031,0.244,0.375,76.8,25.62,7.68,10.19
5,,2.84,37.72,0.98,2453.5,0.376,0.502,,,,,,,,,
5,473.5,,,,,,,4.52,24.68,0.903,0.092,0.272,77.4,26.13,8.2,10.85
5,533.5,2.85,38.94,0.98,2496.9,0.374,0.514,,,,,,,,,
5,561.5,,,,,,,,,,,,74.7,27.23,8.09,10.1
5,,,,,,,,,23.43,0.853,0.066,0.091,78.9,,8.62,
5,429.5,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,76.8,,7.99,
5,,,,,,,,,,,,,77.9,,7.21,
5,,,,,,,,3.13,26.59,0.759,,,,,,
5,,,,,,,,5.81,26.23,0.741,,,77.9,,7.95,
5,,,,,,,,,,,,,75.8,,6.98,
5,,,,,,,,4.09,28.07,0.888,0.263,0.325,,,,
5,,2.8,36.86,0.9,2145.2,0.404,0.55,2.79,24.32,0.599,0.113,,74.7,,7,
5,,2.88,38.38,0.97,2479.6,0.374,0.52,4.14,26.97,0.709,0.111,,,,,
6,583,,,,,,,,,,,,,,,
6,,2.86,39.14,1.03,3221.5,0.372,0.502,3.42,27.59,0.828,0.26,0.396,70.8,23.62,9.89,12.3
6,612.5,3,43.05,1.1,2853.7,0.364,0.516,,,,,,,,,
6,610.5,,,,,,,,,,,,,,,
6,610.5,2.9,40.53,1.09,2951.2,0.354,0.49,2.46,27.26,0.754,0.355,0.282,84.1,24.18,10.35,12.63
6,610,,,,,,,,,,,,,,,
6,635,2.91,39.6,1.01,2996.8,0.38,0.524,2.9,27.53,0.966,0.397,0.382,77.4,23.59,8.57,10.13
6,635.5,,,,,,,,,,,,,,,
6,627.5,2.94,41.49,1.09,3036.7,0.364,0.498,,,,,,,,,
6,604,,,,,,,,,,,,,,,
6,636,2.87,38.88,1.1,2859.4,0.348,0.48,1.85,28.69,0.699,0.187,0.109,80.5,23.51,9,8.96
6,632,,,,,,,,,,,,,,,
6,606.5,2.89,39.44,0.97,2575.8,0.388,0.548,4.52,21.59,1.081,0.234,0.379,72.8,22.79,10.06,9.15
6,596,,,,,,,5.02,22.44,0.855,0.16,0.056,,21.04,8.93,7.74
6,605,2.89,39.07,0.91,2495.5,0.416,,,,,,,,,,
6,600,,,,,,,4.31,23.73,1.036,0.417,0.386,,22.38,9.15,10.25
6,632,2.93,40.88,1.2,3463.9,0.32,0.424,,,,,,,,,
6,620,,,,,,,,,,,,73.8,22.95,9.44,9.73
6,,2.97,41.5,1.09,2897.5,0.362,0.502,,,,,,,,,
6,581,2.9,40.08,1.27,3721.5,0.31,0.43,2.23,25.5,0.849,0.516,0.571,,,,
6,597,,,,,,,,,,,,,,,
6,663,2.93,40.95,1.22,3577.6,0.33,0.448,3.7,26.95,0.585,0.229,0.277,79.5,20.61,,9.09
6,,3.01,43.07,1.39,4031.3,0.298,0.398,3.72,21.42,0.683,0.541,,,,,
6,637.5,,,,,,,,,,,,,,,
6,585,2.87,38.7,1.24,3620.3,0.308,0.416,4.98,23.87,0.72,0.372,0.201,77.4,16.66,12.03,8.39
6,618,,,,,,,,,,,,,,,
6,631,2.88,39.69,1.22,3482.2,0.324,0.44,,,,,,80.5,21.22,,10.87
6,628,,,,,,,,,,,,77.4,17.68,9.06,7.14
6,621.5,2.86,38.75,1.26,3352.4,0.3,0.416,3.09,30,0.735,0.355,0.366,,,,
6,611,2.88,39.77,1.13,3418.3,0.344,0.458,5.91,27.53,0.721,0.336,0.314,80.5,20.25,13.51,8.41
6,597.5,2.81,38.2,1.3,3973.9,0.296,0.382,,,,,,,,,
6,592.5,2.77,36.43,1.2,3413.5,0.316,0.414,3.11,26.95,0.804,0.244,0.263,75.9,19.42,9.42,8.75
6,586.5,2.85,38.33,1.22,3422.3,0.324,0.434,,,,,,,,,
6,623.5,2.9,39.71,1.17,3263,0.334,0.458,2.09,28.68,0.804,0.35,0.238,,,,
6,603,2.85,38.03,1.24,3372.6,0.306,0.408,2.91,26.58,0.663,0.239,0.094,76.9,19.21,10.03,8.88
6,590,2.8,37.19,1.09,3190.9,0.332,0.444,3.34,23.79,0.798,0.321,0.014,80.5,,,
6,,2.83,38.16,1.25,3265.4,0.308,0.422,3.62,27.78,0.723,0.257,0.247,,,,
7,575,,,,,,,,,,,,,,,
7,576.5,,,,,,,,,,,,,,,
7,563.5,2.68,33.41,0.81,2208.7,0.432,0.614,3.97,27.73,1.277,,0.027,81.6,20.95,11.05,8.24
7,558.5,,,,,,,,,,,,,,,
7,535.5,,36.69,0.86,2265.5,0.392,0.592,4.52,25.84,1.186,0.23,0.076,82.1,21.21,8.88,10.44
7,562.5,,,,,,,,,,,,,,,
7,532,,,,,,,,,,,,,,,
7,523,2.63,32.74,0.85,1955.7,0.42,0.594,,,,,,,,,
7,524.5,,,,,,,,,,,,,,,
7,629.5,,,,,,,,,,,,,,,
7,525.5,2.55,30.3,0.82,2075.2,0.396,0.568,5.19,23.44,1.16,0.288,0.372,77.6,20.44,7.3,10.27
7,533.5,,,,,,,,,,,,,,,
7,589,,,,,,,,,,,,,,,
7,584,2.5,29.11,0.73,1778.8,0.418,0.6,4.63,25.6,1.14,,0.231,74,21.45,8.21,7.18
7,543.5,,,,,,,,,,,,,,,
7,,,,,,,,5.26,21.8,1.099,0.332,0.297,65.8,18.98,7.79,9.36
7,530.5,2.57,30.6,0.77,1946.7,0.416,0.596,4.77,25.26,1.187,,0.232,77,21.62,9.53,7.3
7,527,,,,,,,,,,,,,,,
7,581.5,,,,,,,,,,,,,,,
7,558,2.56,30.43,0.81,2107.6,0.378,0.548,,,,,,,18.76,10.51,8.12
7,538,,,,,,,,,,,,,,,
7,565,2.55,29.94,0.78,2069.4,0.418,0.604,,,,,,75,22.6,8.31,8.94
7,546,,,,,,,4.66,21.94,1.083,,,80.6,20.54,9.04,7.54
7,,2.55,30.42,0.82,2074.5,0.402,0.566,,,,,,,,,
7,544,,,,,,,4.75,23.81,0.98,0.048,0.124,75,21.43,7.84,8.39
7,,2.55,29.78,0.82,1969,0.394,0.544,,,,,,,,,
7,534,,,,,,,6.43,20.83,1.022,,0.14,77.6,21.41,8.46,8.26
7,550,2.68,33.32,0.89,2102.5,0.378,0.546,,,,,,,,,
7,546,,,,,,,,,,,,,,,
7,526,,,,,,,,,,,,,,,
7,525.5,,,,,,,,,,,,,,,
