ID,rn,vel_m.s,Acceleration,acc.up
#ID33,6.03,,,0.32
#ID33,6.04,,,0.1
#ID33,6.05,,,-0.15
#ID33,6.06,,,-0.4
#ID33,6.07,,,-0.58
#ID33,6.08,,,-0.65
#ID33,6.09,,,-0.55
#ID33,6.1,5.541666667,0.066,-0.25
#ID33,6.11,,,0.22
#ID33,6.12,,,0.8
#ID33,6.13,,,1.39
#ID33,6.14,,,1.9
#ID33,6.15,,,2.23
#ID33,6.16,,,2.38
#ID33,6.17,,,2.38
#ID33,6.18,,,2.3
#ID33,6.19,,,2.21
#ID33,6.2,5.547222222,0.063,2.13
#ID33,6.21,,,2.07
#ID33,6.22,,,1.99
#ID33,6.23,,,1.83
#ID33,6.24,,,1.58
#ID33,6.25,,,1.24
#ID33,6.26,,,0.85
#ID33,6.27,,,0.46
#ID33,6.28,,,0.14
#ID33,6.29,,,-0.07
#ID33,6.3,5.572222222,0.062,-0.15
#ID33,6.31,,,-0.08
#ID33,6.32,,,0.08
#ID33,6.33,,,0.29
#ID33,6.34,,,0.48
#ID33,6.35,,,0.61
#ID33,6.36,,,0.64
#ID33,6.37,,,0.56
#ID33,6.38,,,0.39
#ID33,6.39,,,0.18
#ID33,6.4,5.588888889,0.071,-0.03
#ID33,6.41,,,-0.18
#ID33,6.42,,,-0.21
#ID33,6.43,,,-0.09
#ID33,6.44,,,0.19
#ID33,6.45,,,0.6
#ID33,6.46,,,1.08
#ID33,6.47,,,1.54
#ID33,6.48,,,1.9
#ID33,6.49,,,2.12
#ID33,6.5,5.583333333,0.081,2.21
#ID33,6.51,,,2.21
#ID33,6.52,,,2.16
#ID33,6.53,,,2.11
#ID33,6.54,,,2.06
#ID33,6.55,,,1.98
#ID33,6.56,,,1.85
#ID33,6.57,,,1.66
#ID33,6.58,,,1.41
#ID33,6.59,,,1.12
#ID33,6.6,5.569444444,0.08,0.83
#ID33,6.61,,,0.58
#ID33,6.62,,,0.41
#ID33,6.63,,,0.33
#ID33,6.64,,,0.33
#ID33,6.65,,,0.4
#ID33,6.66,,,0.48
#ID33,6.67,,,0.54
#ID33,6.68,,,0.56
#ID33,6.69,,,0.52
#ID33,6.7,5.547222222,0.062,0.42
#ID33,6.71,,,0.28
#ID33,6.72,,,0.12
#ID33,6.73,,,-0.06
#ID33,6.74,,,-0.23
#ID33,6.75,,,-0.36
#ID33,6.76,,,-0.43
#ID33,6.77,,,-0.39
#ID33,6.78,,,-0.21
#ID33,6.79,,,0.12
#ID33,6.8,5.522222222,0.028,0.58
#ID33,6.81,,,1.12
#ID33,6.82,,,1.65
#ID33,6.83,,,2.09
#ID33,6.84,,,2.4
#ID33,6.85,,,2.55
#ID33,6.86,,,2.57
#ID33,6.87,,,2.5
#ID33,6.88,,,2.37
#ID33,6.89,,,2.21
#ID33,6.9,5.5,-0.014,2.03
#ID33,6.91,,,1.84
#ID33,6.92,,,1.64
#ID33,6.93,,,1.41
#ID33,6.94,,,1.17
#ID33,6.95,,,0.92
#ID33,6.96,,,0.68
#ID33,6.97,,,0.48
#ID33,6.98,,,0.33
#ID33,6.99,,,0.25
#ID33,7,5.491666667,-0.056,0.24
#ID33,7.01,,,0.29
#ID33,7.02,,,0.36
#ID33,7.03,,,0.41
#ID33,7.04,,,0.41
#ID33,7.05,,,0.33
#ID33,7.06,,,0.19
#ID33,7.07,,,0.01
#ID33,7.08,,,-0.16
#ID33,7.09,,,-0.28
#ID33,7.1,5.483333333,-0.088,-0.33
#ID33,7.11,,,-0.28
#ID33,7.12,,,-0.12
#ID33,7.13,,,0.14
#ID33,7.14,,,0.48
#ID33,7.15,,,0.87
#ID33,7.16,,,1.27
#ID33,7.17,,,1.62
#ID33,7.18,,,1.89
#ID33,7.19,,,2.05
#ID33,7.2,5.483333333,-0.106,2.12
#ID33,7.21,,,2.13
#ID33,7.22,,,2.12
#ID33,7.23,,,2.11
#ID33,7.24,,,2.07
#ID33,7.25,,,2.01
#ID33,7.26,,,1.89
#ID33,7.27,,,1.71
#ID33,7.28,,,1.46
#ID33,7.29,,,1.17
#ID33,7.3,5.491666667,-0.109,0.88
#ID33,7.31,,,0.62
#ID33,7.32,,,0.42
#ID33,7.33,,,0.31
#ID33,7.34,,,0.29
#ID33,7.35,,,0.34
#ID33,7.36,,,0.43
#ID33,7.37,,,0.51
#ID33,7.38,,,0.53
#ID33,7.39,,,0.46
#ID33,7.4,5.5,-0.098,0.3
#ID33,7.41,,,0.05
#ID33,7.42,,,-0.24
#ID33,7.43,,,-0.5
#ID33,7.44,,,-0.67
#ID33,7.45,,,-0.68
#ID33,7.46,,,-0.49
#ID33,7.47,,,-0.12
#ID33,7.48,,,0.4
#ID33,7.49,,,1
#ID33,7.5,5.494444444,-0.079,1.57
#ID33,7.51,,,2.04
#ID33,7.52,,,2.34
#ID33,7.53,,,2.49
#ID33,7.54,,,2.52
#ID33,7.55,,,2.48
#ID33,7.56,,,2.4
#ID33,7.57,,,2.3
#ID33,7.58,,,2.17
#ID33,7.59,,,1.99
#ID33,7.6,5.486111111,-0.063,1.77
#ID33,7.61,,,1.5
#ID33,7.62,,,1.21
#ID33,7.63,,,0.91
#ID33,7.64,,,0.62
#ID33,7.65,,,0.37
#ID33,7.66,,,0.19
#ID33,7.67,,,0.08
#ID33,7.68,,,0.05
#ID33,7.69,,,0.09
#ID33,7.7,5.475,-0.055,0.18
#ID33,7.71,,,0.27
#ID33,7.72,,,0.31
#ID33,7.73,,,0.29
#ID33,7.74,,,0.18
#ID33,7.75,,,0.01
#ID33,7.76,,,-0.18
#ID33,7.77,,,-0.34
#ID33,7.78,,,-0.43
#ID33,7.79,,,-0.4
#ID33,7.8,5.458333333,-0.054,-0.23
#ID33,7.81,,,0.08
#ID33,7.82,,,0.51
#ID33,7.83,,,1
#ID33,7.84,,,1.49
#ID33,7.85,,,1.88
#ID33,7.86,,,2.15
#ID33,7.87,,,2.27
#ID33,7.88,,,2.28
#ID33,7.89,,,2.23
#ID33,7.9,5.444444444,-0.061,2.16
#ID33,7.91,,,2.09
#ID33,7.92,,,2
#ID33,7.93,,,1.88
#ID33,7.94,,,1.71
#ID33,7.95,,,1.49
#ID33,7.96,,,1.24
#ID33,7.97,,,0.99
#ID33,7.98,,,0.75
#ID33,7.99,,,0.57
#ID33,8,5.433333333,-0.072,0.45
#ID33,8.01,,,0.4
#ID33,8.02,,,0.43
#ID33,8.03,,,0.49
#ID33,8.04,,,0.56
#ID33,8.05,,,0.6
#ID33,8.06,,,0.58
#ID33,8.07,,,0.48
#ID33,8.08,,,0.28
#ID33,8.09,,,0.02
#ID33,8.1,5.425,-0.081,-0.27
#ID33,8.11,,,-0.52
#ID33,8.12,,,-0.66
#ID33,8.13,,,-0.64
#ID33,8.14,,,-0.42
#ID33,8.15,,,-0.01
#ID33,8.16,,,0.54
#ID33,8.17,,,1.14
#ID33,8.18,,,1.71
#ID33,8.19,,,2.15
#ID33,8.2,5.422222222,-0.087,2.42
#ID33,8.21,,,2.55
#ID33,8.22,,,2.56
#ID33,8.23,,,2.5
#ID33,8.24,,,2.4
#ID33,8.25,,,2.26
#ID33,8.26,,,2.07
#ID33,8.27,,,1.82
